Count,coordinates
5,"[23.487,80.1053]"
756,"[23.5158,87.308]"
5,"[23.5195,77.8063]"
5,"[23.5376,91.4895]"
184,"[23.5411,74.4425]"
627,"[23.5986,72.3847]"
969,"[23.5989,72.966]"
56,"[23.6328,85.525]"
266,"[23.6418,75.1271]"
8,"[23.6568,87.6964]"
58,"[23.6705,86.9466]"
204,"[23.6833,86.9833]"
71,"[23.6986,72.5521]"
134,"[23.7241,88.4197]"
1448,"[23.7289,92.7179]"
187,"[23.7483,85.4985]"
18,"[23.7634,75.5566]"
480,"[23.7644,73.2479]"
11,"[23.78,86.81]"
214,"[23.7871,85.9564]"
24,"[23.7875,72.6414]"
576,"[23.7877,87.3745]"
603,"[23.802,86.4432]"
18,"[23.8037,72.391]"
190,"[23.8301,87.6866]"
7,"[23.8342,79.4429]"
802,"[23.8356,91.2835]"
77,"[23.8383,80.4027]"
190,"[23.8414,73.0007]"
132,"[23.8431,73.7147]"
1657,"[23.8507,72.1296]"
38,"[23.8604,86.9016]"
1,"[23.9148,91.5035]"
65,"[23.9207,76.9143]"
5,"[23.9318,75.835]"
